token,members,corpus_count,r_ev,r_fd,delta,r_wsr_l12,r_wsr_l21
looked,look|looked,17,-0.2909326451427974,0.12855317914505596,-0.4194858242878533,-0.09117647055424213,-0.09373624361563489
get,get,17,-0.24171209841656408,0.11805863405521697,-0.35977073247178104,-0.13758545582651574,-0.12821516482366463
Only,Only|only,16,-0.2766514375469914,-0.09492379991649187,-0.18172763763049954,-0.09307977052148073,-0.03689639284735323
someone,someone,16,-0.25086583843095844,0.13538777122670176,-0.3862536096576602,-0.12700047459045166,-0.0748548069417293
throughout,throughout,15,-0.17691382818619655,0.055878313488793366,-0.2327921416749899,-0.0036221104105633242,0.07591687208578067
pick,pick|picked,15,-0.2242862889466642,0.21283726723055024,-0.43712355617721443,-0.16088284203697192,-0.13915606924956553
each,each,15,-0.23809695662981356,0.08182855094042528,-0.31992550757023885,-0.06482863243971679,0.01187878442081456
up,up,15,-0.30192230181489976,0.2575036482015547,-0.5594259500164545,-0.1473132985358831,-0.10450985695074953
often,often,15,-0.21843567833554844,-0.1481175708397497,-0.07031810749579875,-0.10567452124464224,0.0232979499637501
once,once,14,-0.25192043959606936,0.1135754659414864,-0.36549590553755573,-0.16943226168672873,-0.13616154201261715
failed,failed,14,-0.06343060849074418,0.21248076600078059,-0.27591137449152475,-0.15951354549154867,-0.12913846084933428
last,last,14,-0.16371939515359196,0.2422649936264535,-0.4059843887800455,-0.14584031868905967,-0.19352396322994278
continued,continue|continued,14,-0.17945932324102876,0.0269286584100943,-0.20638798165112304,-0.12713003266303877,-0.05038051318934832
like,like,14,-0.2874901316334642,0.05835598482372745,-0.34584611645719165,-0.1201397078902954,-0.04034518602583036
pretty,pretty,14,-0.32058132856509575,0.1153842884556133,-0.435965617020709,-0.1084328846711195,-0.07531916772315514
keep,keep,14,-0.17153675380916095,0.027880292010025603,-0.19941704581918654,-0.12795209300887556,-0.07592958763188165
none,none|none,14,-0.23631935359176995,-0.24274910795258875,0.006429754360818801,0.02111584373299112,0.06905848013212264
before,before,13,-0.12140772462681829,0.07173116488791513,-0.1931388895147334,-0.13360649806140523,-0.05883170418781697
results,results,13,-0.0900683267936933,-0.011890276350956092,-0.0781780504427372,0.05958006276336877,-0.009272631584221595
over,over,13,-0.23699841309835018,0.22293194195757443,-0.4599303550559246,-0.11894599513986054,-0.09586075023668716
don,don,13,-0.24798011011076249,0.018179319372344967,-0.26615942948310745,-0.16487307800601464,-0.13976429533606896
getting,getting,13,-0.2663733600869341,0.18963686923424192,-0.45601022932117596,-0.09166860905083372,-0.10263794836633511
player,player,13,0.026507463122422366,0.133050920675265,-0.10654345755284264,-0.07288068536299072,-0.0935977105634397
do,do|doing,12,-0.323307514546033,0.04205863718177029,-0.3653661517278033,-0.12349356898246786,-0.10529570155251095
consistent,consistent,12,-0.07997757015703748,0.045908225605324954,-0.12588579576236242,-0.07500419189239554,-0.029152676771929176
many,many,12,-0.2976458697469406,-0.06318254921783202,-0.23446332052910857,-0.07948813575772767,0.02925578584766713
right,right,12,-0.21292367934071874,0.041309200076342,-0.25423287941706074,-0.12725097756679266,-0.0194115608540559
