dimension,layer,token_id,token,corpus_count,filter_status,retained,mean_raw_logit,median_raw_logit,maximum_raw_logit,best_corpus_rank,median_corpus_rank,participants_top10,participants_top50,participants_top100
Evaluation,12,1855,being,7,retained,True,6.496509056946175,10.244111224353894,16.00808594513363,53,168.0,0,0,78
Evaluation,12,1860,But,2,frequency_below_5,False,3.6790380657434474,3.957632548736618,11.561465619987983,57,463.0,0,0,2
Evaluation,12,1861,because,11,retained,True,11.736436327056172,13.727605899408545,19.482980687744632,7,61.0,2,184,369
Evaluation,12,1865,between,12,retained,True,9.087321183745601,11.503217662278793,18.577730983590975,4,119.0,1,36,182
Evaluation,12,1877,As,2,frequency_below_5,False,-2.189910794767344,0.19688274219576393,5.579648423598379,377,812.0,0,0,0
Evaluation,12,1879,real,2,frequency_below_5,False,5.330179030839319,7.981859927481871,14.334191484729622,96,273.0,0,0,1
Evaluation,12,1887,To,1,frequency_below_5,False,-1.189191399068738,0.5549032132456956,6.739281918068804,326,774.5,0,0,0
Evaluation,12,1924,rd,1,frequency_below_5,False,-8.604295781050842,-6.68242511726959,0.23471093778801233,834,1090.0,0,0,0
Evaluation,12,1927,If,9,non_content,False,-0.9710009240302329,1.5281515121230784,9.867491123485163,221,703.0,0,0,0
Evaluation,12,1941,those,2,frequency_below_5,False,5.764796649958268,7.828046883921578,14.734635186083887,83,281.0,0,0,3
Evaluation,12,1942,found,31,retained,True,4.823021275169116,7.270338704763807,13.21366613137021,67,324.0,0,0,6
Evaluation,12,1963,best,21,retained,True,9.263256588009034,10.61375228219813,18.732996904192053,9,145.0,1,29,114
Evaluation,12,1980,too,8,retained,True,5.916429762421634,10.912135370416326,18.891604389776834,12,132.0,0,17,152
Evaluation,12,1987,take,1,frequency_below_5,False,6.946065688693412,10.435603958133019,16.337528389484763,40,147.0,0,1,86
Evaluation,12,1993,On,1,frequency_below_5,False,-1.0794367782757588,1.3887435697670099,7.003369915272733,433,707.0,0,0,0
Evaluation,12,1997,own,1,frequency_below_5,False,2.751199127714142,5.161394972469239,10.860554305262076,132,442.0,0,0,0
Evaluation,12,2001,last,14,retained,True,14.592641237293229,14.9252258999796,23.1214591772583,2,38.0,51,354,467
Evaluation,12,2005,But,1,frequency_below_5,False,-2.8923920558591516,-0.9406812879690746,6.398721240736461,300,881.5,0,0,0
Evaluation,12,2035,sign,3,frequency_below_5,False,0.7534770319030853,1.4249070306534244,7.04986552595521,189,653.0,0,0,0
Evaluation,12,2060,run,1,frequency_below_5,False,6.514206775274954,7.155231654745146,11.893768566930317,73,280.0,0,0,1
